id;group;text;condition;time;question;correct
CM2;Mul;Text2;SE;Second;Question1;1
CM2;Mul;Text2;SE;Second;Question2;1
CM2;Mul;Text2;SE;Second;Question3;1
CM2;Mul;Text2;SE;Second;Question4;1
CM2;Mul;Text2;SE;Second;Question5;0
CM3;Mul;Text1;ELF;Second;Question1;1
CM3;Mul;Text1;ELF;Second;Question2;1
CM3;Mul;Text1;ELF;Second;Question3;0
CM3;Mul;Text1;ELF;Second;Question4;0
CM3;Mul;Text1;ELF;Second;Question5;1
CM3;Mul;Text2;SE;First;Question1;0
CM3;Mul;Text2;SE;First;Question2;1
CM3;Mul;Text2;SE;First;Question3;1
CM3;Mul;Text2;SE;First;Question4;1
CM3;Mul;Text2;SE;First;Question5;0
CM4;Mul;Text1;SE;First;Question1;1
CM4;Mul;Text1;SE;First;Question2;1
CM4;Mul;Text1;SE;First;Question3;0
CM4;Mul;Text1;SE;First;Question4;1
CM4;Mul;Text1;SE;First;Question5;1
CM4;Mul;Text2;ELF;Second;Question1;0
CM4;Mul;Text2;ELF;Second;Question2;1
CM4;Mul;Text2;ELF;Second;Question3;1
CM4;Mul;Text2;ELF;Second;Question4;1
CM4;Mul;Text2;ELF;Second;Question5;1
CM5;Mul;Text1;SE;Second;Question1;1
CM5;Mul;Text1;SE;Second;Question2;0
CM5;Mul;Text1;SE;Second;Question3;1
CM5;Mul;Text1;SE;Second;Question4;1
CM5;Mul;Text1;SE;Second;Question5;1
CM5;Mul;Text2;ELF;First;Question1;0
CM5;Mul;Text2;ELF;First;Question2;1
CM5;Mul;Text2;ELF;First;Question3;1
CM5;Mul;Text2;ELF;First;Question4;0
CM5;Mul;Text2;ELF;First;Question5;0
CM6;Mul;Text1;ELF;First;Question1;1
CM6;Mul;Text1;ELF;First;Question2;0
CM6;Mul;Text1;ELF;First;Question3;1
CM6;Mul;Text1;ELF;First;Question4;0
CM6;Mul;Text1;ELF;First;Question5;1
CM6;Mul;Text2;SE;Second;Question1;1
CM6;Mul;Text2;SE;Second;Question2;1
CM6;Mul;Text2;SE;Second;Question3;1
CM6;Mul;Text2;SE;Second;Question4;0
CM6;Mul;Text2;SE;Second;Question5;0
CM7;Mul;Text1;ELF;Second;Question1;1
CM7;Mul;Text1;ELF;Second;Question2;1
CM7;Mul;Text1;ELF;Second;Question3;0
CM7;Mul;Text1;ELF;Second;Question4;0
CM7;Mul;Text1;ELF;Second;Question5;1
CM7;Mul;Text2;SE;First;Question1;1
CM7;Mul;Text2;SE;First;Question2;1
CM7;Mul;Text2;SE;First;Question3;0
CM7;Mul;Text2;SE;First;Question4;0
CM7;Mul;Text2;SE;First;Question5;0
CM8;Mul;Text1;ELF;First;Question1;1
CM8;Mul;Text1;ELF;First;Question2;0
CM8;Mul;Text1;ELF;First;Question3;0
CM8;Mul;Text1;ELF;First;Question4;0
CM8;Mul;Text1;ELF;First;Question5;1
CM8;Mul;Text2;SE;Second;Question1;0
CM8;Mul;Text2;SE;Second;Question2;1
CM8;Mul;Text2;SE;Second;Question3;1
CM8;Mul;Text2;SE;Second;Question4;1
CM8;Mul;Text2;SE;Second;Question5;1
CM9;Mul;Text1;SE;Second;Question1;1
CM9;Mul;Text1;SE;Second;Question2;1
CM9;Mul;Text1;SE;Second;Question3;1
CM9;Mul;Text1;SE;Second;Question4;1
CM9;Mul;Text1;SE;Second;Question5;1
